1. {'nb_neurons': 640, 'nb_layers': 2, 'activation': 'LeakyReLU', 'optimizer': 'adam', 'lr_scheduler': 'none', 'initial_lr': 0.0003, 'batch_size': 32, 'dropout': 0} - Accuracy: 0.9825
2. {'nb_neurons': 1024, 'nb_layers': 3, 'activation': 'LeakyReLU', 'optimizer': 'rmsprop', 'lr_scheduler': 'none', 'initial_lr': 0.0001, 'batch_size': 32, 'dropout': 0.1} - Accuracy: 0.9803
3. {'nb_neurons': 384, 'nb_layers': 3, 'activation': 'LeakyReLU', 'optimizer': 'adam', 'lr_scheduler': 'none', 'initial_lr': 0.0003, 'batch_size': 32, 'dropout': 0} - Accuracy: 0.9802
4. {'nb_neurons': 512, 'nb_layers': 3, 'activation': 'LeakyReLU', 'optimizer': 'rmsprop', 'lr_scheduler': 'cosine', 'initial_lr': 0.0003, 'batch_size': 32, 'dropout': 0} - Accuracy: 0.9802
5. {'nb_neurons': 768, 'nb_layers': 1, 'activation': 'Tanh', 'optimizer': 'adam', 'lr_scheduler': 'none', 'initial_lr': 0.0003, 'batch_size': 32, 'dropout': 0} - Accuracy: 0.9795
6. {'nb_neurons': 768, 'nb_layers': 1, 'activation': 'LeakyReLU', 'optimizer': 'adam', 'lr_scheduler': 'cosine', 'initial_lr': 0.001, 'batch_size': 128, 'dropout': 0} - Accuracy: 0.9793
7. {'nb_neurons': 1024, 'nb_layers': 4, 'activation': 'ELU', 'optimizer': 'sgd', 'lr_scheduler': 'none', 'initial_lr': 0.01, 'batch_size': 32, 'dropout': 0} - Accuracy: 0.9793
8. {'nb_neurons': 1024, 'nb_layers': 2, 'activation': 'ReLU', 'optimizer': 'adamw', 'lr_scheduler': 'linear', 'initial_lr': 0.001, 'batch_size': 256, 'dropout': 0.1} - Accuracy: 0.9792
9. {'nb_neurons': 1024, 'nb_layers': 3, 'activation': 'ReLU', 'optimizer': 'rmsprop', 'lr_scheduler': 'linear', 'initial_lr': 0.0001, 'batch_size': 64, 'dropout': 0.1} - Accuracy: 0.9791
10. {'nb_neurons': 256, 'nb_layers': 6, 'activation': 'LeakyReLU', 'optimizer': 'rmsprop', 'lr_scheduler': 'cosine', 'initial_lr': 0.0003, 'batch_size': 32, 'dropout': 0} - Accuracy: 0.9790
11. {'nb_neurons': 256, 'nb_layers': 4, 'activation': 'ELU', 'optimizer': 'adamw', 'lr_scheduler': 'none', 'initial_lr': 0.001, 'batch_size': 128, 'dropout': 0} - Accuracy: 0.9787
12. {'nb_neurons': 896, 'nb_layers': 2, 'activation': 'Sigmoid', 'optimizer': 'rmsprop', 'lr_scheduler': 'cosine', 'initial_lr': 0.001, 'batch_size': 128, 'dropout': 0.1} - Accuracy: 0.9786
13. {'nb_neurons': 512, 'nb_layers': 3, 'activation': 'LeakyReLU', 'optimizer': 'sgd', 'lr_scheduler': 'none', 'initial_lr': 0.01, 'batch_size': 32, 'dropout': 0} - Accuracy: 0.9781
14. {'nb_neurons': 768, 'nb_layers': 4, 'activation': 'ReLU', 'optimizer': 'adam', 'lr_scheduler': 'none', 'initial_lr': 0.0003, 'batch_size': 64, 'dropout': 0} - Accuracy: 0.9781
